vendor_id,vendor_name,vendor_subcity,vendor_city,vendor_address
V001,Shree BuildMart_1,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_1,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_1,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_1,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_1,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_1,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_1,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_1,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_1,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_1,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_2,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_2,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_2,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_2,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_2,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_2,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_2,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_2,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_2,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_2,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_3,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_3,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_3,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_3,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_3,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_3,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_3,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_3,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_3,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_3,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_4,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_4,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_4,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_4,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_4,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_4,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_4,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_4,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_4,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_4,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_5,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_5,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_5,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_5,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_5,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_5,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_5,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_5,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_5,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_5,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_6,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_6,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_6,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_6,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_6,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_6,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_6,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_6,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_6,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_6,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_7,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_7,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_7,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_7,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_7,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_7,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_7,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_7,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_7,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_7,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_8,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_8,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_8,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_8,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_8,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_8,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_8,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_8,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_8,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_8,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_9,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
V002,Mumbai Infra Solutions_9,Bandra West,Mumbai,101 Turner Road Bandra
V003,Eastern Equipments_9,Park Circus,Kolkata,18 AJC Bose Road
V004,SouthTech Services_9,JP Nagar,Bengaluru,212 JP Nagar 3rd Phase
V005,Deccan Suppliers_9,Shivajinagar,Pune,9 Jangali Maharaj Road
V006,Awadh Traders_9,Aliganj,Lucknow,6 Sector Q Aliganj
V007,Telangana Ventures_9,Jubilee Hills,Hyderabad,55 Road No 36 Jubilee Hills
V008,Marina Engineering_9,Teynampet,Chennai,44 Anna Salai Teynampet
V009,Navrang Enterprises_9,Navrangpura,Ahmedabad,27 University Road
V010,Amber Suppliers_9,Bapu Nagar,Jaipur,3S Sahakar Marg
V001,Shree BuildMart_10,DLF Phase 3,Gurugram,47 Udyog Vihar Phase 4
